ID,Season,MatchNumber,Venue,TossWinner,TossDecision,SuperOver,WinningTeam,WonBy,Margin,Player_of_Match,Umpire1,Umpire2
1312200,2022,Final,1,1,bat,N,6,Wickets,7,HH Pandya,1,5
1312199,2022,Qualifier 2,1,1,field,N,1,Wickets,7,JC Buttler,1,5
1312198,2022,Eliminator,2,7,field,N,2,Runs,14,RM Patidar,2,14
1312197,2022,Qualifier 1,2,6,field,N,6,Wickets,7,DA Miller,3,26
1304116,2022,70,3,3,bat,N,9,Wickets,5,Harpreet Brar,4,11
1304115,2022,69,3,10,field,N,10,Wickets,5,JJ Bumrah,5,17
1304114,2022,68,4,5,bat,N,1,Wickets,5,R Ashwin,1,11
1304113,2022,67,3,6,bat,N,2,Wickets,8,V Kohli,6,8
1304112,2022,66,5,7,bat,N,7,Runs,2,Q de Kock,7,24
1304111,2022,65,3,10,field,N,3,Runs,3,RA Tripathi,1,59
1304110,2022,64,5,9,field,N,4,Runs,17,SN Thakur,8,5
1304109,2022,63,4,1,bat,N,1,Runs,24,TA Boult,9,17
1304108,2022,62,3,5,bat,N,6,Wickets,7,WP Saha,7,26
1304107,2022,61,6,8,bat,N,8,Runs,54,AD Russell,4,6
1304106,2022,60,4,2,field,N,9,Runs,54,JM Bairstow,2,59
1304105,2022,59,3,10,field,N,10,Wickets,5,DR Sams,10,1
1304104,2022,58,5,4,field,N,4,Wickets,8,MR Marsh,11,5
1304103,2022,57,6,6,bat,N,6,Runs,62,Shubman Gill,6,14
1304102,2022,56,5,10,field,N,8,Runs,52,JJ Bumrah,1,8
1304101,2022,55,5,4,field,N,5,Runs,91,DP Conway,5,7
1304100,2022,54,3,2,bat,N,2,Runs,67,PWH de Silva,3,59
1304099,2022,53,6,8,field,N,7,Runs,75,Avesh Khan,4,14
1304098,2022,52,3,9,bat,N,1,Wickets,6,YBK Jaiswal,10,24
1304097,2022,51,4,6,field,N,10,Runs,5,TH David,2,8
1304096,2022,50,4,3,field,N,4,Runs,21,DA Warner,12,11
1304095,2022,49,6,5,field,N,2,Runs,13,HV Patel,6,14
1304094,2022,48,5,6,bat,N,9,Wickets,8,K Rabada,7,26
1304093,2022,47,3,8,field,N,8,Wickets,7,RK Singh,2,59
1304092,2022,46,6,3,field,N,5,Runs,13,RD Gaikwad,4,6
1304091,2022,45,3,7,bat,N,7,Runs,6,Mohsin Khan,10,1
1304090,2022,44,5,10,field,N,10,Wickets,5,SA Yadav,3,24
1304089,2022,43,4,2,bat,N,6,Wickets,6,R Tewatia,13,26
1304088,2022,42,6,9,field,N,7,Runs,20,KH Pandya,14,25
1304087,2022,41,3,4,field,N,4,Wickets,4,Kuldeep Yadav,4,9
1304086,2022,40,3,6,field,N,6,Wickets,5,Umran Malik,1,12
1304085,2022,39,6,2,field,N,1,Runs,29,R Parag,3,6
1304084,2022,38,3,5,field,N,9,Runs,11,S Dhawan,15,17
1304083,2022,37,3,10,field,N,7,Runs,36,KL Rahul,15,13
1304082,2022,36,4,3,field,N,3,Wickets,9,M Jansen,10,2
1304081,2022,35,5,6,bat,N,6,Runs,8,Rashid Khan,6,25
